I confirm that I voluntarily agree to participate in this study.,Please create a participant code using the first 2 letters of your mother’s name + the last 2 digits of your phone number (example: DA45).,What is your age?,What is your gender?,"How often do you use food-delivery apps (e.g., Wolt / Uber Eats)?","How often do you use AI chatbots (e.g., ChatGPT / Gemini)?",I generally trust AI systems to provide useful recommendations.,AI systems are reliable in decision-support tasks.,I feel confident relying on AI recommendations when choosing among many options.,I am cautious about trusting AI recommendations.,Enter the same participant code you created in the pre-survey.,Did you complete the chatbot task?,I understood why the chatbot recommended these options.,The reasoning behind the ranking was clear.,The explanation was detailed enough for making a decision.,The explanation helped me evaluate the recommendations.,The chatbot’s recommendations were predictable.,I felt safe relying on the chatbot’s recommendations.,I knew when I should trust the chatbot’s recommendation and when I should question it.,The chatbot acted in my best interest.,The chatbot tried to understand my needs and preferences.,I felt the chatbot was willing to help me.,The chatbot is capable of supporting my decision process effectively.,The chatbot performed well in assisting my choice.,"The chatbot provided the information and support I needed to make a good choice (e.g., reflected my preferences/constraints and suggested relevant options).",I can rely on this chatbot.,I trust this chatbot to support my decisions.,I rely on the information provided by this chatbot.,I would use this chatbot feature in a real food-delivery app.,I would use this chatbot again for future food orders.,I would recommend this chatbot feature to others.,Did you follow the chatbot’s top recommendation?,Age_num,Gender_num,FoodAppUse_num,ChatbotUse_num,Pre07,Pre08,Pre09,Pre10_raw,Pre10_rev,BaselineTrust,Post04,Post05,Post06,Post07,ExplanationQuality,XAI_Predictable,XAI_Safe,XAI_Calibration,XAIIndicators,POST08,POST09,POST10,POST11,POST12,POST13,POST14,POST15,POST16,Benevolence,Competence,Reciprocity,TrustTotal,Post17,Post18,Post19,UsageIntention,FollowTopRec_bin,ExplanationQuality_c,BaselineTrust_c,Int_BaselineTrust,ChatbotUse_num_c,Int_ChatbotUse_num,FoodAppUse_num_c,Int_FoodAppUse_num
I agree,OY39,18-24,Male,Daily,Daily,Strongly agree,Agree,Agree,Strongly disagree,OY39,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Yes,1.0,1.0,5.0,5.0,5.0,4.0,4.0,1.0,5.0,4.5,5.0,5.0,4.0,5.0,4.75,4.0,5.0,5.0,4.666666666666667,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.333333333333333,4.666666666666667,4.333333333333333,4.444444444444444,5.0,5.0,4.0,4.666666666666667,1.0,1.0384615384615383,0.9134615384615383,0.9485946745562127,1.1923076923076925,1.2381656804733727,0.8461538461538458,0.8786982248520705
I agree,PZ60,35-44,Female,Monthly,Weekly,Neutral,Neutral,Neutral,Agree,PZ60,Partially,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.75,3.0,2.0,3.0,3.0,2.75,3.0,3.0,2.0,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-0.9615384615384617,-0.8365384615384617,0.804363905325444,0.1923076923076925,-0.18491124260355052,-1.1538461538461542,1.1094674556213022
I agree,QA05,25-34,Male,Weekly,Weekly,Agree,Agree,Agree,Disagree,QA05,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,2.0,1.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.2884615384615383,0.4134615384615383,0.11926775147928985,0.1923076923076925,0.05547337278106512,-0.1538461538461542,-0.04437869822485215
I agree,RB28,18-24,Female,Weekly,Monthly,Neutral,Agree,Neutral,Neutral,RB28,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,No,1.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.25,3.0,3.0,3.0,4.0,3.25,3.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.3333333333333335,3.6666666666666665,3.0,3.3333333333333335,4.0,4.0,3.0,3.6666666666666665,0.0,-0.4615384615384617,-0.3365384615384617,0.15532544378698235,-0.8076923076923075,0.3727810650887574,-0.1538461538461542,0.0710059171597635
I agree,SC13,25-34,Male,Daily,Weekly,Agree,Agree,Agree,Disagree,SC13,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,2.0,1.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.2884615384615383,0.4134615384615383,0.11926775147928985,0.1923076923076925,0.05547337278106512,0.8461538461538458,0.24408284023668617
I agree,UE41,18-24,Female,Daily,Weekly,Agree,Agree,Neutral,Neutral,UE41,Yes,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes,1.0,2.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.5,4.0,3.0,4.0,4.0,3.75,4.0,4.0,2.0,3.3333333333333335,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.6666666666666665,4.0,3.6666666666666665,3.7777777777777772,4.0,4.0,4.0,4.0,1.0,0.038461538461538325,-0.08653846153846168,-0.003328402366863899,0.1923076923076925,0.007396449704141993,0.8461538461538458,0.03254437869822472
I agree,VF77,25-34,Male,Weekly,Monthly,Agree,Agree,Agree,Neutral,VF77,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,2.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,3.75,4.0,4.0,3.0,4.0,3.75,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.038461538461538325,0.16346153846153832,0.006286982248520682,-0.8076923076923075,-0.03106508875739633,-0.1538461538461542,-0.0059171597633136015
I agree,WG24,25-34,Female,Monthly,Rarely,Neutral,Neutral,Neutral,Agree,WG24,Yes,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.75,3.0,3.0,2.0,3.0,2.75,3.0,2.0,3.0,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-0.9615384615384617,-0.8365384615384617,0.804363905325444,-1.8076923076923075,1.7381656804733727,-1.1538461538461542,1.1094674556213022
I agree,XH59,18-24,Male,Weekly,Daily,Agree,Agree,Agree,Disagree,XH59,Yes,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes,1.0,1.0,4.0,5.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.6666666666666665,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.2884615384615383,0.4134615384615383,0.11926775147928985,1.1923076923076925,0.34393491124260345,-0.1538461538461542,-0.04437869822485215
I agree,YI10,25-34,Female,Weekly,Weekly,Agree,Neutral,Agree,Neutral,YI10,Yes,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,No,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.5,4.0,3.0,3.0,4.0,3.5,3.0,3.0,4.0,3.3333333333333335,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.6666666666666665,4.0,3.888888888888889,3.0,4.0,4.0,3.6666666666666665,0.0,-0.21153846153846168,-0.08653846153846168,0.01830621301775152,0.1923076923076925,-0.040680473372781134,-0.1538461538461542,0.03254437869822494
I agree,ZJ88,45+,Male,Weekly,Monthly,Neutral,Neutral,Neutral,Agree,ZJ88,Partially,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No,4.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,2.75,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.6666666666666665,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,-0.7115384615384617,-0.8365384615384617,0.5952292899408286,-0.8076923076923075,0.5747041420118343,-0.1538461538461542,0.10946745562130204
I agree,KM33,18-24,Female,Daily,Daily,Agree,Strongly agree,Agree,Disagree,KM33,Yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Yes,1.0,2.0,5.0,5.0,4.0,5.0,4.0,2.0,4.0,4.25,5.0,4.0,4.0,5.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.333333333333333,1.0,0.7884615384615383,0.6634615384615383,0.5231139053254436,1.1923076923076925,0.9400887573964497,0.8461538461538458,0.667159763313609
