I confirm that I voluntarily agree to participate in this study.,Please create a participant code using the first 2 letters of your mother’s name + the last 2 digits of your phone number (example: DA45).,What is your age?,What is your gender?,"How often do you use food-delivery apps (e.g., Wolt / Uber Eats)?","How often do you use AI chatbots (e.g., ChatGPT / Gemini)?",I generally trust AI systems to provide useful recommendations.,AI systems are reliable in decision-support tasks.,I feel confident relying on AI recommendations when choosing among many options.,I am cautious about trusting AI recommendations.,Enter the same participant code you created in the pre-survey.,Did you complete the chatbot task?,I understood why the chatbot recommended these options.,The reasoning behind the ranking was clear.,The explanation was detailed enough for making a decision.,The explanation helped me evaluate the recommendations.,The chatbot’s recommendations were predictable.,I felt safe relying on the chatbot’s recommendations.,I knew when I should trust the chatbot’s recommendation and when I should question it.,The chatbot acted in my best interest.,The chatbot tried to understand my needs and preferences.,I felt the chatbot was willing to help me.,The chatbot is capable of supporting my decision process effectively.,The chatbot performed well in assisting my choice.,"The chatbot provided the information and support I needed to make a good choice (e.g., reflected my preferences/constraints and suggested relevant options).",I can rely on this chatbot.,I trust this chatbot to support my decisions.,I rely on the information provided by this chatbot.,I would use this chatbot feature in a real food-delivery app.,I would use this chatbot again for future food orders.,I would recommend this chatbot feature to others.,Did you follow the chatbot’s top recommendation?
I agree,KT52,18-24,Male,Monthly,Daily,Agree,Agree,Agree,Disagree,KT52,Yes,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,LU26,25-34,Female,Daily,Weekly,Neutral,Agree,Neutral,Neutral,LU26,Yes,Agree,Agree,Neutral,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,MW74,45+,Male,Weekly,Rarely,Neutral,Neutral,Disagree,Agree,MW74,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,NX11,25-34,Female,Weekly,Monthly,Agree,Neutral,Agree,Neutral,NX11,Yes,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,OY39,18-24,Male,Daily,Daily,Strongly agree,Agree,Agree,Strongly disagree,OY39,Yes,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Yes
I agree,PZ60,35-44,Female,Monthly,Weekly,Neutral,Neutral,Neutral,Agree,PZ60,Partially,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,QA05,25-34,Male,Weekly,Weekly,Agree,Agree,Agree,Disagree,QA05,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,RB28,18-24,Female,Weekly,Monthly,Neutral,Agree,Neutral,Neutral,RB28,Yes,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,No
I agree,SC13,25-34,Male,Daily,Weekly,Agree,Agree,Agree,Disagree,SC13,Yes,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,TD96,35-44,Male,Weekly,Never,Disagree,Neutral,Disagree,Strongly agree,TD96,No,Disagree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,No
I agree,UE41,18-24,Female,Daily,Weekly,Agree,Agree,Neutral,Neutral,UE41,Yes,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Yes
I agree,VF77,25-34,Male,Weekly,Monthly,Agree,Agree,Agree,Neutral,VF77,Yes,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,WG24,25-34,Female,Monthly,Rarely,Neutral,Neutral,Neutral,Agree,WG24,Yes,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,XH59,18-24,Male,Weekly,Daily,Agree,Agree,Agree,Disagree,XH59,Yes,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
I agree,YI10,25-34,Female,Weekly,Weekly,Agree,Neutral,Agree,Neutral,YI10,Yes,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,No
I agree,ZJ88,45+,Male,Weekly,Monthly,Neutral,Neutral,Neutral,Agree,ZJ88,Partially,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,No
I agree,KM33,18-24,Female,Daily,Daily,Agree,Strongly agree,Agree,Disagree,KM33,Yes,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Yes
